1965
[2, 3, 4, 6, 12] , 1
[2, 3, 4, 6, 8, 24] , 1
[2, 3, 4, 8, 12, 24] , 1
[2, 3, 6, 8, 12, 24] , 1
[2, 3, 4, 6, 8, 16, 48] , 1
[2, 3, 4, 6, 9, 18, 36] , 2
[2, 3, 4, 6, 16, 24, 48] , 1
[2, 3, 4, 8, 12, 16, 48] , 1
[2, 3, 4, 8, 16, 24, 48] , 1
[2, 3, 4, 9, 12, 18, 36] , 2
[2, 3, 4, 12, 16, 24, 48] , 1
[2, 3, 6, 8, 12, 16, 48] , 1
[2, 3, 6, 9, 12, 18, 36] , 2
[2, 3, 6, 12, 16, 24, 48] , 1
[2, 4, 6, 9, 12, 18, 36] , 2
[2, 3, 4, 6, 8, 9, 18, 72] , 2
[2, 3, 4, 6, 8, 9, 36, 72] , 2
[2, 3, 4, 6, 8, 16, 32, 96] , 1
[2, 3, 4, 6, 8, 18, 36, 72] , 2
[2, 3, 4, 6, 8, 32, 48, 96] , 1
[2, 3, 4, 6, 9, 18, 24, 72] , 2
[2, 3, 4, 6, 9, 24, 36, 72] , 2
[2, 3, 4, 6, 16, 24, 32, 96] , 1
[2, 3, 4, 6, 18, 24, 36, 72] , 2
[2, 3, 4, 6, 24, 32, 48, 96] , 1
[2, 3, 4, 8, 9, 12, 18, 72] , 2
[2, 3, 4, 8, 9, 12, 36, 72] , 2
[2, 3, 4, 8, 9, 18, 24, 36] , 2
[2, 3, 4, 8, 9, 18, 24, 72] , 2
[2, 3, 4, 8, 9, 24, 36, 72] , 2
[2, 3, 4, 8, 12, 16, 32, 96] , 1
[2, 3, 4, 8, 12, 18, 36, 72] , 2
[2, 3, 4, 8, 12, 32, 48, 96] , 1
[2, 3, 4, 8, 16, 24, 32, 96] , 1
[2, 3, 4, 8, 16, 32, 48, 96] , 1
[2, 3, 4, 8, 18, 24, 36, 72] , 2
[2, 3, 4, 8, 24, 32, 48, 96] , 1
[2, 3, 4, 9, 12, 18, 24, 72] , 2
[2, 3, 4, 9, 12, 24, 36, 72] , 2
[2, 3, 4, 12, 16, 24, 32, 96] , 1
[2, 3, 4, 12, 18, 24, 36, 72] , 2
[2, 3, 4, 12, 24, 32, 48, 96] , 1
[2, 3, 6, 8, 9, 12, 18, 72] , 2
[2, 3, 6, 8, 9, 12, 36, 72] , 2
[2, 3, 6, 8, 9, 18, 24, 36] , 2
[2, 3, 6, 8, 9, 18, 36, 72] , 2
[2, 3, 6, 8, 12, 16, 32, 96] , 1
[2, 3, 6, 8, 12, 18, 36, 72] , 2
[2, 3, 6, 8, 12, 32, 48, 96] , 1
[2, 3, 6, 9, 12, 18, 24, 72] , 2
[2, 3, 6, 9, 12, 24, 36, 72] , 2
[2, 3, 6, 9, 18, 24, 36, 72] , 2
[2, 3, 6, 12, 16, 24, 32, 96] , 1
[2, 3, 6, 12, 18, 24, 36, 72] , 2
[2, 3, 6, 12, 24, 32, 48, 96] , 1
[2, 4, 6, 8, 9, 12, 18, 72] , 2
[2, 4, 6, 8, 9, 12, 36, 72] , 2
[2, 4, 6, 8, 9, 18, 24, 36] , 2
[2, 4, 6, 8, 9, 18, 24, 72] , 2
[2, 4, 6, 8, 9, 24, 36, 72] , 2
[2, 4, 6, 9, 12, 18, 24, 72] , 2
[2, 4, 6, 9, 12, 24, 36, 72] , 2
[2, 4, 8, 9, 12, 18, 24, 36] , 2
[2, 4, 8, 9, 12, 18, 24, 72] , 2
[2, 4, 8, 9, 12, 24, 36, 72] , 2
[2, 3, 4, 5, 6, 10, 15, 20, 30] , 6
[2, 3, 4, 5, 6, 10, 15, 20, 60] , 6
[2, 3, 4, 5, 6, 10, 15, 30, 60] , 6
[2, 3, 4, 5, 6, 10, 20, 30, 60] , 6
[2, 3, 4, 5, 6, 15, 20, 30, 60] , 6
[2, 3, 4, 5, 10, 12, 15, 20, 30] , 6
[2, 3, 4, 5, 10, 12, 15, 20, 60] , 6
[2, 3, 4, 5, 10, 12, 15, 30, 60] , 6
[2, 3, 4, 5, 10, 12, 20, 30, 60] , 6
[2, 3, 4, 5, 12, 15, 20, 30, 60] , 6
[2, 3, 4, 6, 8, 9, 16, 18, 144] , 2
[2, 3, 4, 6, 8, 9, 16, 36, 144] , 2
[2, 3, 4, 6, 8, 9, 16, 72, 144] , 2
[2, 3, 4, 6, 8, 9, 18, 48, 144] , 2
[2, 3, 4, 6, 8, 9, 36, 48, 144] , 2
[2, 3, 4, 6, 8, 9, 48, 72, 144] , 2
[2, 3, 4, 6, 8, 16, 18, 36, 144] , 2
[2, 3, 4, 6, 8, 16, 18, 72, 144] , 2
[2, 3, 4, 6, 8, 16, 32, 64, 192] , 1
[2, 3, 4, 6, 8, 16, 36, 72, 144] , 2
[2, 3, 4, 6, 8, 16, 64, 96, 192] , 1
[2, 3, 4, 6, 8, 18, 36, 48, 144] , 2
[2, 3, 4, 6, 8, 18, 48, 72, 144] , 2
[2, 3, 4, 6, 8, 32, 48, 64, 192] , 1
[2, 3, 4, 6, 8, 36, 48, 72, 144] , 2
[2, 3, 4, 6, 8, 48, 64, 96, 192] , 1
[2, 3, 4, 6, 9, 16, 18, 24, 144] , 2
[2, 3, 4, 6, 9, 16, 18, 48, 72] , 2
[2, 3, 4, 6, 9, 16, 18, 72, 144] , 2
[2, 3, 4, 6, 9, 16, 24, 36, 144] , 2
[2, 3, 4, 6, 9, 16, 24, 72, 144] , 2
[2, 3, 4, 6, 9, 16, 36, 48, 72] , 2
[2, 3, 4, 6, 9, 16, 36, 72, 144] , 2
[2, 3, 4, 6, 9, 18, 24, 48, 144] , 2
[2, 3, 4, 6, 9, 18, 48, 72, 144] , 2
[2, 3, 4, 6, 9, 24, 36, 48, 144] , 2
[2, 3, 4, 6, 9, 24, 48, 72, 144] , 2
[2, 3, 4, 6, 9, 27, 36, 54, 108] , 4
[2, 3, 4, 6, 9, 36, 48, 72, 144] , 2
[2, 3, 4, 6, 10, 15, 20, 30, 60] , 6
[2, 3, 4, 6, 16, 18, 24, 36, 144] , 2
[2, 3, 4, 6, 16, 18, 24, 72, 144] , 2
[2, 3, 4, 6, 16, 18, 36, 48, 72] , 2
[2, 3, 4, 6, 16, 18, 36, 72, 144] , 2
[2, 3, 4, 6, 16, 24, 32, 64, 192] , 1
[2, 3, 4, 6, 16, 24, 36, 72, 144] , 2
[2, 3, 4, 6, 16, 24, 64, 96, 192] , 1
[2, 3, 4, 6, 18, 24, 36, 48, 144] , 2
[2, 3, 4, 6, 18, 24, 48, 72, 144] , 2
[2, 3, 4, 6, 18, 27, 36, 54, 108] , 4
[2, 3, 4, 6, 18, 36, 48, 72, 144] , 2
[2, 3, 4, 6, 24, 32, 48, 64, 192] , 1
[2, 3, 4, 6, 24, 36, 48, 72, 144] , 2
[2, 3, 4, 6, 24, 48, 64, 96, 192] , 1
[2, 3, 4, 8, 9, 12, 16, 18, 144] , 2
[2, 3, 4, 8, 9, 12, 16, 36, 144] , 2
